Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
4,KSC,Starlink,"15,600 kg",LEO,SpaceX,launch_outcome,F9 B5 ♺,Success,1 March 2013,15:10
5,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,launch_outcome,F9 B5B1060.6,Success,29 September 2013,16:00
6,CCSFS,Starlink,"15,600 kg",LEO,NASA,launch_outcome,F9 B5 ♺,Success,3 December 2013,22:41
7,KSC,Crew-2,"~13,000 kg",LEO,SpaceX,launch_outcome,F9 B5B1061.2,Success,6 January 2014,22:06
8,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,launch_outcome,F9 B5B1060.7,Success,18 April 2014,19:25
9,KSC,Starlink,"15,600 kg",LEO,SpaceX,launch_outcome,F9 B5B1049.9,Success,14 July 2014,15:15
10,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,launch_outcome,F9 B5B1051.10,Success,5 August 2014,08:00
11,KSC,Starlink,"~14,000 kg",LEO,SpaceX,launch_outcome,F9 B5B1058.8,Success,7 September 2014,05:00
12,CCSFS,Starlink,"15,600 kg",LEO,NASA,launch_outcome,F9 B5B1063.2,Success,21 September 2014,05:52
13,KSC,SpaceX CRS-22,"3,328 kg",LEO,Sirius XM,launch_outcome,F9 B5B1067.1,Success,10 January 2015,09:47
14,CCSFS,SXM-8,"7,000 kg",GTO,,,F9 B5,,11 February 2015,23:03
15,,,,,,,,,2 March 2015,03:50
16,,,,,,,,,14 April 2015,20:10
17,,,,,,,,,27 April 2015,23:03
18,,,,,,,,,28 June 2015,14:21
19,,,,,,,,,22 December 2015,01:29
20,,,,,,,,,17 January 2016,18:42
21,,,,,,,,,4 March 2016,23:35
22,,,,,,,,,8 April 2016,20:43
23,,,,,,,,,6 May 2016,05:21
24,,,,,,,,,27 May 2016,21:39
25,,,,,,,,,15 June 2016,14:29
26,,,,,,,,,18 July 2016,04:45
27,,,,,,,,,14 August 2016,05:26
28,,,,,,,,,14 January 2017,17:54
29,,,,,,,,,19 February 2017,14:39
30,,,,,,,,,16 March 2017,06:00
31,,,,,,,,,30 March 2017,22:27
32,,,,,,,,,1 May 2017,11:15
33,,,,,,,,,15 May 2017,23:21
34,,,,,,,,,3 June 2017,21:07
35,,,,,,,,,23 June 2017,19:10
36,,,,,,,,,25 June 2017,20:25
37,,,,,,,,,5 July 2017,23:38
38,,,,,,,,,14 August 2017,16:31
39,,,,,,,,,24 August 2017,18:51
40,,,,,,,,,7 September 2017,14:00
41,,,,,,,,,9 October 2017,12:37
42,,,,,,,,,11 October 2017,22:53:00
43,,,,,,,,,30 October 2017,19:34
44,,,,,,,,,15 December 2017,15:36
45,,,,,,,,,23 December 2017,01:27
46,,,,,,,,,8 January 2018,01:00
47,,,,,,,,,31 January 2018,21:25
48,,,,,,,,,22 February 2018,14:17
49,,,,,,,,,6 March 2018,05:33
50,,,,,,,,,30 March 2018,14:14
51,,,,,,,,,2 April 2018,20:30
52,,,,,,,,,18 April 2018,22:51
53,,,,,,,,,11 May 2018,20:14
54,,,,,,,,,22 May 2018,19:47
55,,,,,,,,,4 June 2018,04:45
56,,,,,,,,,29 June 2018,09:42
57,,,,,,,,,22 July 2018,05:50
58,,,,,,,,,25 July 2018,11:39
59,,,,,,,,,7 August 2018,05:18
60,,,,,,,,,10 September 2018,04:45
61,,,,,,,,,8 October 2018,02:22
62,,,,,,,,,15 November 2018,20:46
63,,,,,,,,,3 December 2018,18:34:05
64,,,,,,,,,5 December 2018,18:16
65,,,,,,,,,23 December 2018,13:51
66,,,,,,,,,11 January 2019,15:31
67,,,,,,,,,22 February 2019,01:45
68,,,,,,,,,2 March 2019,07:49
69,,,,,,,,,4 May 2019,06:48
70,,,,,,,,,24 May 2019,02:30
71,,,,,,,,,12 June 2019,14:17
72,,,,,,,,,25 July 2019,22:01
73,,,,,,,,,6 August 2019,23:23
74,,,,,,,,,11 November 2019,14:56
75,,,,,,,,,5 December 2019,17:29
76,,,,,,,,,17 December 2019,00:10
77,,,,,,,,,7 January 2020,02:19:21
78,,,,,,,,,19 January 2020,15:30
79,,,,,,,,,29 January 2020,14:07
80,,,,,,,,,17 February 2020,15:05
81,,,,,,,,,7 March 2020,04:50
82,,,,,,,,,18 March 2020,12:16
83,,,,,,,,,22 April 2020,19:30
84,,,,,,,,,30 May 2020,19:22
85,,,,,,,,,4 June 2020,01:25
86,,,,,,,,,13 June 2020,09:21
87,,,,,,,,,30 June 2020,20:10:46
88,,,,,,,,,20 July 2020,21:30
89,,,,,,,,,7 August 2020,05:12
90,,,,,,,,,18 August 2020,14:31
91,,,,,,,,,30 August 2020,23:18
92,,,,,,,,,3 September 2020,12:46:14
93,,,,,,,,,6 October 2020,11:29:34
94,,,,,,,,,18 October 2020,12:25:57
95,,,,,,,,,24 October 2020,15:31:34
96,,,,,,,,,5 November 2020,23:24:23
97,,,,,,,,,16 November 2020,00:27
98,,,,,,,,,21 November 2020,17:17:08
99,,,,,,,,,25 November 2020,02:13
100,,,,,,,,,6 December 2020,16:17:08
101,,,,,,,,,13 December 2020,17:30:00
102,,,,,,,,,19 December 2020,14:00:00
103,,,,,,,,,8 January 2021,02:15
104,,,,,,,,,20 January 2021,13:02
105,,,,,,,,,24 January 2021,15:00
106,,,,,,,,,4 February 2021,06:19
107,,,,,,,,,16 February 2021,03:59:37
108,,,,,,,,,4 March 2021,08:24
109,,,,,,,,,11 March 2021,08:13:29
110,,,,,,,,,14 March 2021,10:01
111,,,,,,,,,24 March 2021,08:28
112,,,,,,,,,7 April 2021,16:34
113,,,,,,,,,23 April 2021,9:49
114,,,,,,,,,29 April 2021,03:44
115,,,,,,,,,4 May 2021,19:01
116,,,,,,,,,9 May 2021,06:42
117,,,,,,,,,15 May 2021,22:56
118,,,,,,,,,26 May 2021,18:59
119,,,,,,,,,3 June 2021,17:29
120,,,,,,,,,6 June 2021,04:26
121,,,,,,,,,,
